row_number,record_key,reason,payment_id,booking_id,payment_time,payment_method,payment_status,amount,currency,refund_amount,created_at,updated_at
7578,PAY-B7963025-A577-5FD4-AD07-90ADF593C09F,Invalid amount,PAY-b7963025-a577-5fd4-ad07-90adf593c09f,BKG-b7963025-a577-5fd4-ad07-90adf593c09f,2026-03-21 17:22:00,DEBIT_CARD,PAID,not-a-number,USD,0,2026-03-21 15:40:00,2026-03-21 20:40:00
8254,PAY-CDB6843B-D550-5B3A-92A3-407A93268F44,Missing booking_id,PAY-cdb6843b-d550-5b3a-92a3-407a93268f44,,2026-04-07 00:13:00,CREDIT_CARD,SUCCESS,206.51,USD,0,2026-04-06 22:32:00,2026-04-08 10:32:00
8321,PAY-F969F53C-776A-5C6D-BEE1-9A5AD7B44FFC,Missing booking_id,PAY-f969f53c-776a-5c6d-bee1-9a5ad7b44ffc,,2026-01-21 17:02:00,CREDIT_CARD,PAID,240.39,USD,0,2026-01-21 16:49:00,2026-01-23 08:49:00
9225,PAY-40EC4812-DEEB-5EF4-9B8F-0639D0A98FFA,Missing booking_id,PAY-40ec4812-deeb-5ef4-9b8f-0639d0a98ffa,,2026-03-26 08:57:00,CREDIT_CARD,REFUNDED,254.42,USD,254.42,2026-03-26 07:55:00,2026-03-28 16:55:00
9672,row-9672,Missing payment_id,,BKG-3df5c9c1-af43-538d-80a2-afdfed3ec316,2026-03-06 23:30:00,CREDIT_CARD,PAID,329.68,USD,0,2026-03-06 22:01:00,2026-03-07 16:01:00
9889,PAY-82552E8E-9C93-5A6C-BBFB-25CE3BFC8F7D,Missing booking_id,PAY-82552e8e-9c93-5a6c-bbfb-25ce3bfc8f7d,,2026-03-22 18:49:00,CREDIT_CARD,PAID,250.56,USD,0,2026-03-22 17:10:00,2026-03-24 22:10:00
10406,PAY-29A7D1D9-095A-5698-80F0-247A99892C06,Invalid amount,PAY-29a7d1d9-095a-5698-80f0-247a99892c06,BKG-29a7d1d9-095a-5698-80f0-247a99892c06,2026-04-01 05:25:00,CREDIT_CARD,PAID,not-a-number,USD,0,2026-04-01 04:51:00,2026-04-03 10:51:00
11089,PAY-09AA64FC-0C04-53E8-8BC3-C2DB046D1F79,Invalid amount,PAY-09aa64fc-0c04-53e8-8bc3-c2db046d1f79,BKG-09aa64fc-0c04-53e8-8bc3-c2db046d1f79,2026-03-11 23:06:00,credit_card,PAID,not-a-number,USD,0,2026-03-11 22:22:00,2026-03-12 03:22:00
11090,PAY-09AA64FC-0C04-53E8-8BC3-C2DB046D1F79,Invalid amount,PAY-09aa64fc-0c04-53e8-8bc3-c2db046d1f79,BKG-09aa64fc-0c04-53e8-8bc3-c2db046d1f79,2026-03-11 23:06:00,credit_card, PAID ,not-a-number,USD,0,2026-03-11 22:22:00,2026-03-12 14:22:00
11142,PAY-FFF523CD-0E95-5997-B540-9859FEAFC9B3,Missing booking_id,PAY-fff523cd-0e95-5997-b540-9859feafc9b3,,2026-03-18 08:16:00,BANK_TRANSFER,PAID,132.88,usd,0,2026-03-18 06:25:00,2026-03-18 07:25:00
11293,row-11293,Missing payment_id,,BKG-f0e94e4e-a743-5a4e-97c6-7cdd8e4214cd,2026-02-12 00:40:00,Credit_Card,PAID,127.16,USD,0,2026-02-11 22:47:00,2026-02-12 05:47:00
11429,PAY-B06445BD-D891-5AE0-9AB2-D0053E2A0AAE,Missing booking_id,PAY-b06445bd-d891-5ae0-9ab2-d0053e2a0aae,,2026-01-09 01:30:00,DEBIT_CARD,PAID,100.15,USD,0,2026-01-09 00:10:00,2026-01-09 06:10:00
11505,PAY-FCA77C80-C967-5C2B-9F15-A9140D78A0FA,Invalid amount,PAY-fca77c80-c967-5c2b-9f15-a9140d78a0fa,BKG-fca77c80-c967-5c2b-9f15-a9140d78a0fa,2026-01-09 06:41:00,CREDIT_CARD,PAID,not-a-number,USD,0,2026-01-09 06:03:00,2026-01-11 18:03:00
11506,PAY-FCA77C80-C967-5C2B-9F15-A9140D78A0FA,Invalid amount,PAY-fca77c80-c967-5c2b-9f15-a9140d78a0fa,BKG-fca77c80-c967-5c2b-9f15-a9140d78a0fa,2026-01-09 06:41:00,CREDIT_CARD,Paid,not-a-number,USD,0,2026-01-09 06:03:00,2026-01-12 04:03:00
11672,PAY-8E959045-9F4D-510D-960F-2D8665C3FDF4,Invalid amount,PAY-8e959045-9f4d-510d-960f-2d8665c3fdf4,BKG-8e959045-9f4d-510d-960f-2d8665c3fdf4,2026-02-22 08:52:00,BANK_TRANSFER,REFUNDED,not-a-number,USD,114.52,2026-02-22 07:11:00,2026-02-25 02:11:00
11852,PAY-CCDF8E78-AE5E-5CEF-B2DD-9F0D6A93F82A,Missing booking_id,PAY-ccdf8e78-ae5e-5cef-b2dd-9f0d6a93f82a,,2026-02-10 10:07:00,BANK_TRANSFER,PAID,123.5,USD,0,2026-02-10 08:44:00,2026-02-11 21:44:00
12199,PAY-3291B478-459B-5AC3-ADF4-27DC2E1F2A5D,Missing booking_id,PAY-3291b478-459b-5ac3-adf4-27dc2e1f2a5d,,2026-02-11 04:40:00,PAYPAL,PAID,145.6,USD,0,2026-02-11 03:20:00,2026-02-11 18:20:00
12305,row-12305,Missing payment_id,,BKG-6c0b00f3-9ad3-5ff8-a5c0-68ada93fc577,2026-04-11 05:44:00,DEBIT_CARD,paid,145.61,USD,0,2026-04-11 05:16:00,2026-04-14 03:16:00
12447,PAY-AF165545-1B18-5489-984D-38B55C2A2FC2,Missing booking_id,PAY-af165545-1b18-5489-984d-38b55c2a2fc2,,2026-02-21 19:28:00,CREDIT_CARD,PAID,131.35,USD,0,2026-02-21 17:45:00,2026-02-24 17:45:00
12448,PAY-AF165545-1B18-5489-984D-38B55C2A2FC2,Missing booking_id,PAY-af165545-1b18-5489-984d-38b55c2a2fc2,,2026-02-21 19:28:00,CREDIT_CARD, PAID ,130.35,USD,0,2026-02-21 17:45:00,2026-02-25 01:45:00
13432,PAY-81B4B211-34CB-5D61-8983-A30DAD2F9D0B,Missing booking_id,PAY-81b4b211-34cb-5d61-8983-a30dad2f9d0b,,2026-02-15 12:43:00,CREDIT_CARD,PAID,126.47,USD,0,2026-02-15 12:35:00,2026-02-17 13:35:00
14006,PAY-B9D2C82A-98C9-51CC-BBCB-808E532C44E0,Missing booking_id,PAY-b9d2c82a-98c9-51cc-bbcb-808e532c44e0,,2026-03-17 10:21:00,CREDIT_CARD,PAID,191.13,USD,0,2026-03-17 09:18:00,2026-03-17 18:18:00
14708,PAY-12F25E73-72D7-5DDB-9212-6E9F36DFD8C3,Invalid amount,PAY-12f25e73-72d7-5ddb-9212-6e9f36dfd8c3,BKG-12f25e73-72d7-5ddb-9212-6e9f36dfd8c3,2026-03-26 16:42:00,CREDIT_CARD,PAID,not-a-number,USD,0,2026-03-26 15:52:00,2026-03-27 21:52:00
14838,row-14838,Missing payment_id,,BKG-fd8e0e92-dd1f-53f9-99dd-41500ff04bed,2026-02-28 09:02:00,CREDIT_CARD,PAID,117.51,USD,0,2026-02-28 08:38:00,2026-03-01 12:38:00
14849,PAY-BBC04FDA-A7D0-59B0-B739-0755D8969484,Missing booking_id,PAY-bbc04fda-a7d0-59b0-b739-0755d8969484,,2026-03-09 14:32:00,PAYPAL,PAID,117.98,USD,0,2026-03-09 12:53:00,2026-03-10 15:53:00
14876,row-14876,Missing payment_id,,BKG-3d755b75-be0a-54ed-a7bb-777531071fd2,2026-01-28 06:18:00,CREDIT_CARD,PAID,154.16,USD,0,2026-01-28 05:19:00,2026-01-28 21:19:00
15476,PAY-7B71359D-0E07-5AC1-B015-7DA49A1A12B8,Missing booking_id,PAY-7b71359d-0e07-5ac1-b015-7da49a1a12b8,,2026-03-22 22:30:00,CREDIT_CARD,PAID,142.13,USD,0,2026-03-22 21:14:00,2026-03-22 21:14:00
15876,row-15876,Missing payment_id,,BKG-fb1ae5fa-ba00-5e2f-9be8-01db5d4642bc,2026-02-20 06:57:00,PAYPAL,PAID,100.87,USD,0,2026-02-20 04:18:00,2026-02-23 04:18:00
16146,row-16146,Missing payment_id,,BKG-b1cb5e70-34e3-5b19-acf3-a20284c6782f,2026-02-02 14:12:00,CREDIT_CARD,PAID,129.05,USD,0,2026-02-02 12:09:00,2026-02-04 17:09:00
16218,row-16218,Missing payment_id,,BKG-eb06d570-c8cb-58c5-8be0-8f1bd57f2166,2026-03-31 18:10:00,CREDIT_CARD,PAID,144.94,USD,0,2026-03-31 16:56:00,2026-04-02 14:56:00
16378,row-16378,Missing payment_id,,BKG-e5e079de-45eb-52f9-9b73-2dd82d84dc52,2026-02-07 23:15:00,CREDIT_CARD,REFUNDED,132.35,USD,132.35,2026-02-07 21:48:00,2026-02-08 02:48:00
17369,PAY-3449A213-8425-5386-8970-BBD3E919204E,Missing booking_id,PAY-3449a213-8425-5386-8970-bbd3e919204e,,2026-03-21 07:38:00,BANK_TRANSFER,PAID,74.91,USD,0,2026-03-21 07:20:00,2026-03-23 14:20:00
17466,PAY-2CF877F0-FD1C-5405-B585-146CD6FB7F52,Invalid amount,PAY-2cf877f0-fd1c-5405-b585-146cd6fb7f52,BKG-2cf877f0-fd1c-5405-b585-146cd6fb7f52,2026-04-03 16:50:00,CREDIT_CARD,FAILED,not-a-number,USD,0,2026-04-03 14:46:00,2026-04-03 20:46:00
17810,PAY-D0647166-DB82-5A3C-85F9-4F4B94950F3B,Invalid amount,PAY-d0647166-db82-5a3c-85f9-4f4b94950f3b,BKG-d0647166-db82-5a3c-85f9-4f4b94950f3b,2026-02-22 15:45:00,CREDIT_CARD,REFUNDED,not-a-number,USD,125.35,2026-02-22 13:22:00,2026-02-22 22:22:00
17862,PAY-BE96756C-939C-5447-B9C2-46AA7BB9C99A,Missing booking_id,PAY-be96756c-939c-5447-b9c2-46aa7bb9c99a,,2026-02-22 07:18:00,CREDIT_CARD,PAID,107.18,USD,0,2026-02-22 04:38:00,2026-02-23 21:38:00
17928,PAY-6323355F-A97D-5C53-B213-1C26FA6BA16A,Missing booking_id,Pay-6323355F-A97D-5C53-B213-1C26Fa6Ba16A,,2026-03-10 02:40:00,CREDIT_CARD,PAID,117.61,USD,0,2026-03-10 00:15:00,2026-03-11 14:15:00
18440,PAY-5D14A1C1-F30F-52E7-A311-2A493EF75221,Missing booking_id,PAY-5d14a1c1-f30f-52e7-a311-2a493ef75221,,2026-04-04 12:34:00,Debit_Card,PAID,128.96,USD,0,2026-04-04 09:47:00,2026-04-06 18:47:00
18869,PAY-6D9FC59A-2226-5184-8F08-22F8931ED9EE,Invalid amount,PAY-6d9fc59a-2226-5184-8f08-22f8931ed9ee,BKG-6d9fc59a-2226-5184-8f08-22f8931ed9ee,2026-01-29 07:36:00,BANK_TRANSFER,REFUNDED,not-a-number, USD ,82.87,2026-01-29 04:56:00,2026-01-31 00:56:00
19563,PAY-374A94EA-598F-566C-8788-B53F94851DFC,Missing booking_id,PAY-374a94ea-598f-566c-8788-b53f94851dfc,,2026-02-23 15:14:00,CREDIT_CARD,PAID,111.03,USD,0,2026-02-23 15:11:00,2026-02-26 15:11:00
19584,PAY-883138CE-0704-5FD1-BB64-0A7B36A4726A,Missing booking_id,PAY-883138ce-0704-5fd1-bb64-0a7b36a4726a,,2026-04-04 08:30:00,PAYPAL,PAID,101.52,USD,0,2026-04-04 07:08:00,2026-04-07 01:08:00
19602,PAY-AA5A5294-F814-542D-9038-57A38E8A228D,Missing booking_id,PAY-aa5a5294-f814-542d-9038-57a38e8a228d,,2026-02-23 13:30:00,CREDIT_CARD,PAID,108.18,USD,0,2026-02-23 13:24:00,2026-02-24 17:24:00
19987,row-19987,Missing payment_id,,BKG-c5085793-1861-5b35-9bb7-9ccbe5bf8b4f,2026-03-26 13:24:00,PAYPAL,REFUNDED,91.84,USD,91.84,2026-03-26 12:06:00,2026-03-27 01:06:00
20023,row-20023,Missing payment_id,,BKG-4489be3f-993c-5ebf-9e53-405245eeb0ed,2026-01-19 22:36:00,BANK_TRANSFER,PAID,65.53,USD,0,2026-01-19 21:30:00,2026-01-20 02:30:00
20453,PAY-3D8F7BBB-58DA-5A44-81CF-F5D10BC54D5B,Invalid amount,PAY-3d8f7bbb-58da-5a44-81cf-f5d10bc54d5b,BKG-3d8f7bbb-58da-5a44-81cf-f5d10bc54d5b,2026-04-05 08:13:00,DEBIT_CARD,PAID,not-a-number,USD,0,2026-04-05 06:35:00,2026-04-06 05:35:00
20747,PAY-CC3DDCE9-A02E-5041-829B-C76A687AE48D,Invalid amount,PAY-cc3ddce9-a02e-5041-829b-c76a687ae48d,BKG-cc3ddce9-a02e-5041-829b-c76a687ae48d,2026-02-15 06:56:00,PAYPAL,PAID,not-a-number,USD,0,2026-02-15 05:10:00,2026-02-17 02:10:00
20822,PAY-10670766-2988-5594-80F5-CB3BD1C1F323,Missing booking_id,PAY-10670766-2988-5594-80f5-cb3bd1c1f323,,2026-01-31 09:32:00,CREDIT_CARD,REFUNDED,117.08,USD,117.08,2026-01-31 07:03:00,2026-02-01 14:03:00
20832,PAY-6E5446E4-E71A-5AB6-9425-47FA1A455B99,Missing booking_id,PAY-6e5446e4-e71a-5ab6-9425-47fa1a455b99,,2026-03-14 15:42:00,PAYPAL,PAID,84.55,USD,0,2026-03-14 13:34:00,2026-03-15 01:34:00
20978,PAY-13C99FF8-B3ED-57D8-B18C-960FB18AFAE5,Missing booking_id,PAY-13c99ff8-b3ed-57d8-b18c-960fb18afae5,,2026-04-08 12:17:00,CREDIT_CARD,PAID,78.67,usd,0,2026-04-08 11:19:00,2026-04-10 16:19:00
21430,PAY-06EC614A-3000-5613-BB9F-44BC1605F3A0,Invalid amount,PAY-06ec614a-3000-5613-bb9f-44bc1605f3a0,BKG-06ec614a-3000-5613-bb9f-44bc1605f3a0,2026-02-14 15:36:00,DEBIT_CARD,PAID,not-a-number,USD,0,2026-02-14 14:23:00,2026-02-16 16:23:00
21687,PAY-91F98C06-660A-5532-8F13-15FB79409657,Missing booking_id,PAY-91f98c06-660a-5532-8f13-15fb79409657,,2026-01-25 01:13:00,BANK_TRANSFER,PAID,166.9,USD,0,2026-01-24 23:26:00,2026-01-27 17:26:00
21997,PAY-163EA212-E91A-5086-8028-C629C7E9A887,Missing booking_id,PAY-163ea212-e91a-5086-8028-c629c7e9a887,,2026-03-13 18:49:00,CREDIT_CARD,PAID,114.5,USD,0,2026-03-13 18:45:00,2026-03-13 21:45:00
22064,PAY-E2F5561B-2861-56E8-A827-933FB34359CE,Missing booking_id,PAY-e2f5561b-2861-56e8-a827-933fb34359ce,,2026-03-15 03:34:00,CREDIT_CARD,SUCCESS,124.22,USD,0,2026-03-15 02:11:00,2026-03-17 02:11:00
22066,PAY-78A18707-1FAD-5E9D-853D-A0FB6CB990B2,Missing booking_id,PAY-78a18707-1fad-5e9d-853d-a0fb6cb990b2,,2026-02-10 21:41:00,CREDIT_CARD,PAID,95.26,USD,0,2026-02-10 20:07:00,2026-02-13 04:07:00
22319,PAY-AC714558-2AF9-5823-8AE7-F54AE8791F52,Missing booking_id,PAY-ac714558-2af9-5823-8ae7-f54ae8791f52,,2026-03-15 10:08:00,DEBIT_CARD,PAID,110.55,USD,0,2026-03-15 08:26:00,2026-03-16 01:26:00
22474,PAY-A1F8D63A-1143-5765-913F-64540CBB467F,Missing booking_id,PAY-a1f8d63a-1143-5765-913f-64540cbb467f,,2026-01-23 00:52:00,CREDIT_CARD,PAID,88.94,USD,0,2026-01-22 23:45:00,2026-01-22 23:45:00
22542,PAY-C6853167-1862-5523-9568-4A6093812415,Missing booking_id,PAY-c6853167-1862-5523-9568-4a6093812415,,2026-01-17 19:25:00,CREDIT_CARD,PAID,117.49,USD,0,2026-01-17 17:42:00,2026-01-18 18:42:00
22582,PAY-0F242104-3219-51EF-973E-345175CD2E12,Missing booking_id,PAY-0f242104-3219-51ef-973e-345175cd2e12,,2026-03-14 02:00:00,CREDIT_CARD,PAID,108.47,USD,0,2026-03-14 00:19:00,2026-03-14 20:19:00
22728,PAY-C0165786-47C9-5A26-B331-6C422F86F3EF,Missing booking_id,PAY-c0165786-47c9-5a26-b331-6c422f86f3ef,,2026-01-19 21:19:00,PAYPAL,PAID,87.68,USD,0,2026-01-19 20:30:00,2026-01-22 01:30:00
22914,PAY-2F457CE7-161F-5D5C-8EEE-51D61B9B5F89,Invalid amount,PAY-2f457ce7-161f-5d5c-8eee-51d61b9b5f89,BKG-2f457ce7-161f-5d5c-8eee-51d61b9b5f89,2026-03-18 03:49:00,PAYPAL,PAID,not-a-number,USD,0,2026-03-18 02:53:00,2026-03-19 00:53:00
22972,row-22972,Missing payment_id,,BKG-630acf0e-6033-5df3-8ab1-53021e484d62,2026-02-27 05:55:00,Credit_Card,PAID,112.39,USD,0,2026-02-27 03:30:00,2026-02-27 04:30:00
23453,PAY-4C1ED62F-23B2-5772-B163-F82B6CD64751,Missing booking_id,PAY-4c1ed62f-23b2-5772-b163-f82b6cd64751,,2026-02-12 09:11:00,CREDIT_CARD,PAID,124.74,USD,0,2026-02-12 08:23:00,2026-02-14 08:23:00
23729,PAY-F5FDE34D-EFA3-5A91-8218-BE02331D0158,Missing booking_id,PAY-f5fde34d-efa3-5a91-8218-be02331d0158,,2026-03-14 05:50:00,CREDIT_CARD,PAID,89.96,USD,0,2026-03-14 05:31:00,2026-03-14 13:31:00
24295,PAY-D3D87DCB-82B5-567B-BF98-8C81AED4F847,Invalid amount,PAY-d3d87dcb-82b5-567b-bf98-8c81aed4f847,bkg-d3d87dcb-82b5-567b-bf98-8c81aed4f847,2026-03-19 18:23:00,CREDIT_CARD,PAID,not-a-number,USD,0,2026-03-19 16:24:00,2026-03-21 20:24:00
24408,row-24408,Missing payment_id,,BKG-87723e65-d1e1-5783-b671-a0ca714e5c23,2026-03-26 20:55:00,PAYPAL,PAID,124.47,USD,0,2026-03-26 19:45:00,2026-03-29 00:45:00
24735,row-24735,Missing payment_id,,BKG-fdb9ecce-1f98-5532-99ba-48ace38640cd,2026-04-02 19:35:00,CREDIT_CARD,SETTLED,160.48,USD,0,2026-04-02 18:09:00,2026-04-04 06:09:00
25050,PAY-BA400E74-2682-5484-8381-6F8058B7BB94,Invalid amount,PAY-ba400e74-2682-5484-8381-6f8058b7bb94,BKG-ba400e74-2682-5484-8381-6f8058b7bb94,2026-03-18 22:12:00,CREDIT_CARD,PAID,not-a-number, USD ,0,2026-03-18 20:29:00,2026-03-20 14:29:00
25704,PAY-C9FB49B8-D3B6-529E-ACB1-8AF24C14A756,Missing booking_id,PAY-c9fb49b8-d3b6-529e-acb1-8af24c14a756,,2026-01-10 13:52:00,Credit_Card,REFUNDED,129.22,USD,129.22,2026-01-10 13:20:00,2026-01-13 07:20:00
26807,PAY-81AF219F-0ACD-5F55-A1D3-7A5EDB6C3C16,Invalid amount,PAY-81af219f-0acd-5f55-a1d3-7a5edb6c3c16,BKG-81af219f-0acd-5f55-a1d3-7a5edb6c3c16,2026-04-11 05:47:00,CREDIT_CARD,PAID,not-a-number,USD,0,2026-04-11 03:33:00,2026-04-13 03:33:00
